Time,Protocol
0.436749,TCP
0.438979,TLSv1.2
0.438979,TLSv1.2
0.438979,TCP
0.438979,TCP
0.439021,TCP
0.440741,TCP
0.440741,TCP
0.440769,TCP
0.441908,TCP
0.441908,TCP
0.441964,TCP
0.44337,TCP
0.44337,TCP
0.443412,TCP
0.446873,TCP
0.446873,TCP
0.446873,TCP
0.446873,TCP
0.446919,TCP
0.447489,TCP
0.449034,TCP
0.449091,TCP
0.450113,TCP
0.450113,TCP
0.450212,TCP
0.45145,TCP
0.45145,TCP
0.451492,TCP
0.453772,TCP
0.453772,TCP
0.453772,TLSv1.2
0.453772,TLSv1.2
0.453822,TCP
0.455719,TLSv1.2
0.455719,TLSv1.2
0.455741,TCP
0.459384,TLSv1.2
0.459384,TLSv1.2
0.459384,TLSv1.2
0.459384,TLSv1.2
0.459535,TCP
0.460268,TLSv1.2
0.460268,TLSv1.2
0.4603,TCP
0.461828,TLSv1.2
0.461828,TLSv1.2
0.461854,TCP
0.463088,TLSv1.2
0.463088,TLSv1.2
0.46313,TCP
0.464724,TLSv1.2
0.464724,TLSv1.2
0.464748,TCP
0.466743,TLSv1.2
0.466743,TLSv1.2
0.466773,TCP
0.469976,TLSv1.2
0.469976,TLSv1.2
0.469976,TLSv1.2
0.469976,TLSv1.2
0.469976,TLSv1.2
0.469976,TLSv1.2
0.47002,TCP
0.471949,TLSv1.2
0.471949,TLSv1.2
0.471982,TCP
0.473734,TLSv1.2
0.473734,TLSv1.2
0.473786,TCP
0.47631,TLSv1.2
0.47631,TLSv1.2
0.47631,TLSv1.2
0.47631,TLSv1.2
0.476355,TCP
0.477792,TCP
0.477792,TCP
0.477827,TCP
0.47944,TCP
0.47944,TCP
0.479475,TCP
0.480062,TCP
0.481151,TCP
0.481183,TCP
0.481602,TCP
0.482614,TCP
0.482656,TCP
0.483934,TCP
0.483934,TCP
0.483973,TCP
0.486572,TCP
0.486572,TCP
0.486572,TCP
0.486572,TCP
0.486648,TCP
0.489116,TCP
0.489116,TCP
0.489116,TCP
0.48916,TCP
0.490041,TCP
0.490078,TCP
0.490945,TCP
0.490945,TCP
0.490996,TCP
0.493401,TCP
0.493401,TCP
0.493401,TCP
0.493458,TCP
0.494773,TCP
0.49482,TCP
0.495522,TCP
0.495522,TCP
0.495569,TCP
0.49773,TCP
0.49773,TCP
0.49773,UDP
0.49773,UDP
0.49773,UDP
0.49773,UDP
0.497786,TCP
0.498059,UDP
0.498059,UDP
0.498059,TCP
0.498059,TCP
0.498123,TCP
0.498547,UDP
0.498547,UDP
0.500591,TCP
0.500591,TCP
0.500638,TCP
0.501385,UDP
0.501385,UDP
0.501385,UDP
0.501385,TLSv1.2
0.501385,TLSv1.2
0.501448,TCP
0.501806,UDP
0.501806,UDP
0.502828,UDP
0.502828,UDP
0.502828,TLSv1.2
0.502828,TLSv1.2
0.502878,TCP
0.50298,UDP
0.505146,TLSv1.2
0.505146,TLSv1.2
0.505235,TCP
0.505565,TLSv1.2
0.505565,TLSv1.2
0.505615,TCP
0.507641,TLSv1.2
0.507641,TCP
0.507692,TCP
0.509159,TCP
0.509159,TCP
0.509216,TCP
0.512132,TCP
0.512132,TCP
0.512132,TCP
0.512132,TCP
0.512215,TCP
0.51469,TCP
0.51469,TCP
0.51469,TCP
0.51469,TCP
0.51478,TCP
0.516851,TCP
0.516851,TCP
0.516905,TCP
0.51801,TCP
0.51801,TCP
0.51808,TCP
0.520776,TCP
0.520776,TCP
0.520776,TCP
0.520776,TCP
0.520881,TCP
0.524255,TCP
0.524255,TCP
0.524255,TCP
0.524255,TCP
0.524356,TCP
0.525141,TCP
0.525141,TCP
0.525204,TCP
0.527803,TCP
0.527803,TCP
0.527803,TCP
0.527876,TCP
0.528525,TCP
0.528586,TCP
0.529418,TCP
0.529418,TCP
0.529482,TCP
0.530778,TCP
0.530778,TCP
0.530842,TCP
0.532611,TCP
0.532611,TCP
0.532675,TCP
0.534671,TCP
0.534671,TCP
0.534725,TCP
0.536165,TCP
0.53707,TCP
0.53707,TCP
0.53707,TCP
0.537129,TCP
0.539376,TCP
0.539376,TCP
0.539376,TCP
0.539432,TCP
0.543901,TLSv1.2
0.543901,TLSv1.2
0.543901,TLSv1.2
0.543901,MDNS
0.544132,TCP
0.545064,TLSv1.2
0.545569,TLSv1.2
0.545569,TLSv1.2
0.545569,TLSv1.2
0.545569,TLSv1.2
0.545619,TCP
