"No.","Time","Source","Destination","Protocol","Length","Info"
"4163","36.241071","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4164","36.241820","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4165","36.241820","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4166","36.241990","192.168.1.104","212.156.184.18","UDP","76","58960  >  443 Len=34"
"4167","36.242478","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4168","36.242478","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4169","36.243385","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4170","36.243385","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4171","36.247951","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4172","36.248316","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4173","36.249111","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4174","36.249111","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4175","36.249111","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4176","36.249111","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4177","36.249111","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4178","36.250249","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4179","36.250249","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4180","36.250249","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4181","36.250249","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4182","36.251050","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4183","36.251050","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4184","36.251254","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4185","36.252010","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4186","36.252010","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4187","36.252010","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4188","36.253061","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4189","36.253061","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4190","36.253061","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4191","36.253363","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4192","36.253737","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4193","36.253737","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4194","36.254420","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4195","36.254993","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4196","36.255383","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4197","36.255755","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4198","36.255755","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4199","36.256833","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4200","36.257398","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4201","36.257886","192.168.1.104","212.156.184.18","UDP","77","58960  >  443 Len=35"
"4202","36.257970","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
"4203","36.259014","212.156.184.18","192.168.1.104","UDP","1292","443  >  58960 Len=1250"
