"No.","Time","Source","Destination","Protocol","Length","Info"
"4804","12.228200","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4805","12.235840","192.168.1.105","212.156.184.13","QUIC","81","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4806","12.245101","212.156.184.13","192.168.1.105","QUIC","68","Protected Payload (KP0)"
"4807","12.245101","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4808","12.245101","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4809","12.245101","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4810","12.245101","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4811","12.252242","192.168.1.105","212.156.184.13","QUIC","75","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4812","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4813","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4814","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4815","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4816","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4817","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4818","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4819","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4820","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4821","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4822","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4823","12.255393","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4824","12.255704","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4825","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4826","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4827","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4828","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4829","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4830","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4831","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4832","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4833","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4834","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4835","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4836","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4837","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4838","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4839","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4840","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4841","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4842","12.266670","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4843","12.266953","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4844","12.267061","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4845","12.269687","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4846","12.282654","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4847","12.282654","162.159.136.234","192.168.1.105","TLSv1.2","88","Application Data"
"4848","12.282654","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4849","12.282654","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4850","12.282654","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4851","12.282654","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4852","12.282979","192.168.1.105","212.156.184.13","QUIC","74","Protected Payload (KP0), DCID=f8c9d5aabc7eec2c"
"4853","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
"4854","12.288983","212.156.184.13","192.168.1.105","QUIC","1292","Protected Payload (KP0)"
